word,definition,example
versatility,Having a wide variety of skills.,
stimuli,Any stimulating information or event; acts to arouse action.,
uninspiring,Depressing to the spirit.,a villa of uninspiring design
mutually,In a mutual or shared manner.,the agreement was mutually satisfactory
somber/sombre,Lacking brightness or color; dull.,drab faded curtains
somberly/sombrely,In a somber manner.,"`That's sure bad news,' said Dowd, somberly"
clutter,A confused multitude of things.,
dislodge,Remove or force out from a position.,The dentist dislodged the piece of food that had been stuck under my gums
carpenter,A woodworker who makes or repairs wooden objects.,
carpentry,The craft of a carpenter: making things out of wood.,
transit,"A surveying instrument for measuring horizontal and vertical angles, consisting of a small telescope mounted on a tripod.",
plummet,The metal bob of a plumb line.,
circulate,Become widely known and passed on.,the rumor spread
circulation,The dissemination of copies of periodicals (as newspapers or magazines).,
demography,The branch of sociology that studies the characteristics of human populations.,
demographic,A statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.).,
demographically,,
phenomenal,Of or relating to a phenomenon.,phenomenal science
phenomenally,To a phenomenal degree.,his reaction was phenomenally quick
prophet,An authoritative person who divines the future.,
prophetic,Foretelling events as if by supernatural intervention.,prophetic writings
paywall,,
firewall,(colloquial) the application of maximum thrust.,he moved the throttle to the firewall
invoice,An itemized statement of money owed for goods shipped or services rendered.,he paid his bill and left
demolition,An event (or the result of an event) that completely destroys something.,
demo,A visual presentation showing how something works.,the lecture was accompanied by dramatic demonstrations
gig,Long and light rowing boat; especially for racing.,
socialization,The action of establishing on a socialist basis.,the socialization of medical services
antiquity,The historic period preceding the middle ages in europe.,
antiquated,Make obsolete or old-fashioned.,
restoration,The reign of charles ii in england; 1660-1685.,
restorative,A medicine that strengthens and invigorates.,
rotate,Turn on or around an axis or a center.,The Earth revolves around the Sun
coupled,"Bring two objects, ideas, or people together.",This fact is coupled to the other one
itinerary,An established line of travel or access.,
charter,A document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation.,
terrain,A piece of ground having specific characteristics or military potential.,they decided to attack across the rocky terrain
resilient,"Recovering readily from adversity, depression, or the like.",
resilience,The physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit.,
enterprising,"Marked by imagination, initiative, and readiness to undertake new projects.",an enterprising foreign policy
integral,The result of a mathematical integration; f(x) is the integral of f(x) if df/dx = f(x).,
canoe,Small and light boat; pointed at both ends; propelled with a paddle.,
magnetic,Of or relating to or caused by magnetism.,magnetic forces
magnetism,Attraction for iron; associated with electric currents as well as magnets; characterized by fields of force.,
magnetically,By the use of magnetism.,magnetically contaminated material
credible,Capable of being believed.,completely credible testimony
credibly,Easy to believe on the basis of available evidence.,he talked plausibly before the committee
credibility,The quality of being believable or trustworthy.,
credential,A document attesting to the truth of certain stated facts.,
acutely,In an acute manner.,she pitied her sister acutely
prohibitive,Tending to discourage (especially of prices).,the price was prohibitive
prohibitively,To a prohibitive degree.,it is prohibitively expensive
fissure,A long narrow depression in a surface.,
pendulous,Having branches or flower heads that bend downward.,nodding daffodils
suspension,A mixture in which fine particles are suspended in a fluid where they are supported by buoyancy.,
anthropology,The social science that studies the origins and social relationships of human beings.,
anthropologist,A social scientist who specializes in anthropology.,
squander,Spend thoughtlessly; throw away.,He wasted his inheritance on his insincere friends
munch,Norwegian painter (1863-1944).,
adjoin,Lie adjacent to another or share a boundary.,Canada adjoins the U.S.
adjoining,Lie adjacent to another or share a boundary.,Canada adjoins the U.S.
wizened,Lean and wrinkled by shrinkage as from age or illness; ; ; ; -w.f.starkie.,the old woman's shriveled skin
graft,(surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient.,
orchard,Garden consisting of a small cultivated wood without undergrowth.,
seedling,Young plant or tree grown from a seed.,
tract,An extended area of land.,
folktale,A tale circulated by word of mouth among the common folk.,
sprout,Any new growth of a plant such as a new branch or a bud.,
hypocrisy,An expression of agreement that is not supported by real conviction.,
hypocrite,A person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives.,
hypocritical,Professing feelings or virtues one does not have.,hypocritical praise
hypocritically,In a hypocritical manner.,he behaved hypocritically by praying piously when people were watching
midwife,A woman skilled in aiding the delivery of babies.,
commercially,In a commercial manner.,the product is commercially available
uniformity,A condition in which everything is regular and unvarying.,
numb,Make numb or insensitive.,The shock numbed her senses
tastebud,An oval sensory end organ on the surface of the tongue.,
amateur,Someone who pursues a study or sport as a pastime.,
retrace,To go back over again.,we retraced the route we took last summer
insubordinate,Not submissive to authority.,a history of insubordinate behavior
insubordination,Defiance of authority.,
insubordinately,,
subordinate,An assistant subject to the authority or control of another.,
primitively,With reference to the origin or beginning.,
embark,Go on board.,
expedite,Speed up the progress of; facilitate.,This should expedite the process
contextual,Relating to or determined by or in context.,contextual information
contextually,In a manner dependent on context.,
whilst,,
maneuver/manoeuvre,A military training exercise.,
riveting,Direct one's attention on something.,Please focus on your studies and not on your hobbies
plunge,A brief swim in water.,
debut,The act of beginning something new.,they looked forward to the debut of their new product line
turmoil,A violent disturbance.,the convulsions of the stock market
scathing,Marked by harshly abusive criticism.,his scathing remarks about silly lady novelists
unscathing,,
convoluted,"Curl, wind, or twist together.",
undaunted,Unshaken in purpose.,wholly undismayed by the commercial failure of the three movies he had made
gutsy,Marked by courage and determination in the face of difficulties or danger; robust and uninhibited; ; -judith crist.,you have to admire her; it was a gutsy thing to do
deprivation,A state of extreme poverty.,
farce,A comedy characterized by broad satire and improbable situations.,
portray,Portray in words.,The book portrays the actor as a selfish person
portrayal,A word picture of a person's appearance and character.,
elusive,Difficult to describe.,a haunting elusive odor
elude,"Escape, either physically or mentally.",The thief eluded the police
incisor,A tooth for cutting or gnawing; located in the front of the mouth in both jaws.,
incision,A depression scratched or carved into a surface.,
chisel,An edge tool with a flat steel blade with a cutting edge.,
chiselled,Engage in deceitful behavior; practice trickery or fraud.,Who's chiseling on the side?
gnaw,Bite or chew on with the teeth.,gnaw an old cracker
elongate,Make long or longer by pulling and stretching.,stretch the fabric
telltale,Someone who gossips indiscreetly.,
cavity,A sizeable hole (usually in the ground).,they dug a pit to bury the body
rustle,"A light noise, like the noise of silk clothing or leaves blowing in the wind.",
glean,"Gather, as of natural products.",harvest the grapes
niche,A position particularly well suited to the person who occupies it.,he found his niche in the academic world
somersault,An acrobatic feat in which the feet roll over the head (either forward or backward) and return.,
exhilarate,Fill with sublime emotion.,The children were thrilled at the prospect of going to the movies
exhilarating,Fill with sublime emotion.,The children were thrilled at the prospect of going to the movies
exhilaration,The feeling of lively and cheerful joy.,he could hardly conceal his excitement when she agreed
physicality,Preoccupation with satisfaction of physical drives and appetites.,
hack,One who works hard at boring tasks.,
lust,A strong sexual desire.,
unsettling,Disturb the composure of.,
unsettle,Disturb the composure of.,
suburban,Relating to or characteristic of or situated in suburbs.,suburban population
suburbia,A residential district located on the outskirts of a city.,
dramatist,Someone who writes plays.,
characterization/characterisation,A graphic or vivid verbal description.,too often the narrative was interrupted by long word pictures
quirky,Informal terms; strikingly unconventional.,
sprawl,An aggregation or continuous network of urban communities.,
ingenuity,The power of creative imagination.,
panorama,The visual percept of a region.,the most desirable feature of the park are the beautiful views
panoramic,As from an altitude or distance.,a bird's-eye survey
benign,Not dangerous to health; not recurrent or progressive (especially of a tumor).,
benignly,In a benign manner.,this drug is benignly soporific
explosively,Suddenly and rapidly.,the population in Central America is growing explosively
bequeath,Leave or give by will after one's death.,My aunt bequeathed me all her jewelry
legacy,(law) a gift of personal property by will.,
synthetic,A compound made artificially by chemical reactions.,
synthetically,By synthesis; in a synthetic manner.,some of these drugs have been derived from opium and others have been produced synthetically
lackluster/lacklustre,Lacking brilliance or vitality.,a dull lackluster life
elastic,A narrow band of elastic rubber used to hold things (such as papers) together.,
appall/appal,Strike with disgust or revulsion.,The scandalous behavior of this married woman shocked her friends
appalling,An experience that appalls.,is it better to view the appalling or merely hear of it?
appallingly,To an appalling extent.,the prisoners were appallingly thin
pounce,The act of pouncing.,
abound,Be abundant or plentiful; exist in large quantities.,
sap,"A watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant.",
monotonous,Tediously repetitious or lacking in variety.,a humdrum existence; all work and no play
monotonously,In a monotonous manner.,the history of the play throughout the latter part of the eighteenth century is monotonously uneventful
monotony,"The quality of wearisome constancy, routine, and lack of variety.",he had never grown accustomed to the monotony of his work
turn to ,,
ingenious,Showing inventiveness and skill.,a clever gadget
plaque,(pathology) a small abnormal patch on or inside the body.,
neutralize/neutralise,Make politically neutral and thus inoffensive.,The treaty neutralized the small republic
neutralization/neutralisation,Action intended to keep a country politically neutral or exclude it from a possible war.,the neutralization of Belgium
salivate,Produce saliva.,We salivated when he described the great meal
cessation,A stopping.,a cessation of the thunder
remorse,A feeling of deep regret (usually for some misdeed).,
remorseless,Without mercy or pity.,an act of ruthless ferocity
remorsefully,In a rueful manner.,"`I made a big mistake,' he said ruefully"
remorselessly,Without pity; in a merciless manner.,he was mercilessly trounced by his opponent in the House
inexcusable,Without excuse or justification.,
inexcusably,In an unpardonable manner or to an unpardonable degree.,he was inexcusably cruel to his wife
unassisted,Unsupported by other people.,
heighten,Become more extreme.,The tension heightened
fixture,An object firmly fixed in place (especially in a household).,
bulk,The property resulting from being or relating to the greater in number of two parts; the main part.,the majority of his customers prefer it
bulky,Of large size for its weight.,
bulk up,,
digitalize/digitalise,"Put into digital form, as for use in a computer.",he bought a device to digitize the data
digitalization/digitalisation,The administration of digitalis for the treatment of certain heart disorders.,
mark-up,,
complementary,Either one of two chromatic colors that when mixed together give white (in the case of lights) or grey (in the case of pigments).,yellow and blue are complementaries
complimentary,Conveying or resembling a compliment.,a complimentary remark
staple,(usually plural) a necessary commodity for which demand is constant.,
wares,"Articles of the same kind or material; usually used in combination: `silverware', `software'.",
testament,A profession of belief.,he stated his political testament
succulent,A plant adapted to arid conditions and characterized by fleshy water-storing tissues that act as water reservoirs.,
succulently,,
tranquil,(of a body of water) free from disturbance by heavy waves.,a ribbon of sand between the angry sea and the placid bay
tranquility,A disposition free from stress or emotion.,
spartan,A resident of sparta.,
peninsula,A large mass of land projecting into a body of water.,
billiards,Any of several games played on rectangular cloth-covered table (with cushioned edges) in which long tapering cue sticks are used to propel ivory (or composition) balls.,
exude,Release (a liquid) in drops or small quantities.,exude sweat through the pores
headmistress,A woman headmaster.,
mien,Dignified manner or conduct.,
timidity,Fear of the unknown or unfamiliar or fear of making decisions.,
unravel,Become or cause to become undone by separating the fibers or threads of.,unravel the thread
concurrence,Agreement of results or opinions.,
unpromising,Unlikely to bring about favorable results or enjoyment.,faced an unpromising task
teem,"Be teeming, be abuzz.",The garden was swarming with bees
corpse,The dead body of a human being.,the cadaver was intended for dissection
constrained,Hold back.,
indignant,Angered at something unjust or wrong.,an indignant denial
indignantly,In an indignant manner.,"Miss Burney protested indignantly, her long thin nose turning pink with mortification at this irreverent piece of mimicry"
eccentricity,Strange and unconventional behavior.,
locomotive,A wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks.,
locomotion,The power or ability to move.,
individualism,The quality of being individual.,so absorbed by the movement that she lost all sense of individuality
enthuse,Cause to feel enthusiasm.,
belligerent,Someone who fights (or is fighting).,
belligerence,Hostile or warlike attitude or nature.,
stoicism,An indifference to pleasure or pain.,
recluse,One who lives in solitude.,
reclusive,Withdrawn from society; seeking solitude.,lived an unsocial reclusive life
metalled,Cover with metal.,
oblique,Any grammatical case other than the nominative.,
facsimile,An exact copy or reproduction.,
shamble,Walking with a slow dragging motion without lifting your feet.,from his shambling I assumed he was very old
whir,Sound of something in rapid motion.,whir of a bird's wings
blight,A state or condition being blighted.,
puritanical,Of or relating to puritans or puritanism.,
brood,The young of an animal cared for at one time.,
disdainful,Expressing extreme contempt.,
zoologist,A specialist in the branch of biology dealing with animals.,
zoology,All the animal life in a particular region or period.,the fauna of China
encumbrance,An onerous or difficult concern.,the burden of responsibility
encumber,Hold back.,
hypothesis,A proposal intended to explain certain facts or observations.,
hypothesize,To believe especially on uncertain or tentative grounds.,Scientists supposed that large dinosaurs lived in swamps
hypothetical,"A hypothetical possibility, circumstance, statement, proposal, situation, etc.","consider the following, just as a hypothetical"
parasitic,Relating to or caused by parasites.,parasitic infection
plumage,The light horny waterproof structure forming the external covering of birds.,
utilitarian,Someone who believes that the value of a thing depends on its utility.,
utilize,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,use your head!
predilection,A predisposition in favor of something.,a predilection for expensive cars
commensurate,Corresponding in size or degree or extent.,pay should be commensurate with the time worked
commensurately,,
vindicate,Show to be right by providing justification or proof.,vindicate a claim
vindication,The act of vindicating or defending against criticism or censure etc.,friends provided a vindication of his position
parable,A short moral story (often with animal characters).,
minster,Any of certain cathedrals and large churches; originally connected to a monastery.,
wrack,Dried seaweed especially that cast ashore.,
ironic,Humorously sarcastic or mocking.,dry humor
callous,Make insensitive or callous; deaden feelings or morals.,
callously,In a callous way.,he callously exploited their feelings
derelict,"A person without a home, job, or property.",
materialism,A desire for wealth and material possessions with little interest in ethical or spiritual matters.,
materialistic,Marked by materialism.,
ferocity,The property of being wild or turbulent.,the storm's violence
evokingly,,
recitation,Written matter that is recited from memory.,
equable,Not varying.,an equable climate
extant,Still in existence; not extinct or destroyed or lost; ; - edward clodd.,extant manuscripts
denounce,Speak out against.,He denounced the Nazis
denunciation,A public act of denouncing.,
echo,The repetition of a sound resulting from reflection of the sound waves.,she could hear echoes of her own footsteps
requisition,"The act of requiring; an authoritative request or demand, especially by a military or public authority that takes something over (usually temporarily) for military or public use.",
substantiate,Establish or strengthen as with new evidence or facts.,his story confirmed my doubts
inscrutable,Of an obscure nature; ; ; ; - rachel carson.,the new insurance policy is written without cryptic or mysterious terms
stratosphere,The atmospheric layer between the troposphere and the mesosphere.,
indulgence,An inability to resist the gratification of whims and desires.,
indulgently,In an indulgent manner.,I was indulgently advised to give the kids what they wanted unless I wished my son to be socially ostracised
laudatory,Full of or giving praise.,a laudatory remark
laud ,,
glitz,Tasteless showiness.,
glitzy,,
automate,Make automatic or control or operate automatically.,automatize the production
apprehend,Get the meaning of something.,Do you comprehend the meaning of this letter?
athleticism,Intense energy.,his music is characterized by a happy athleticism
acreage,An area of ground used for some particular purpose (such as building or farming).,he wanted some acreage to build on
affectation,A deliberate pretense or exaggerated display.,
imposition,The act of imposing something (as a tax or an embargo).,
stipulate,Specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement.,The will stipulates that she can live in the house for the rest of her life
stipulation,(law) an agreement or concession made by parties in a judicial proceeding (or by their attorneys) relating to the business before the court; must be in writing unless they are part of the court record.,a stipulation of fact was made in order to avoid delay
allot,Give out.,We were assigned new uniforms
allotment,A share set aside for a specific purpose.,
anticlimactically,,
forfeiture,Something that is lost or surrendered as a penalty.,
blitz,(american football) defensive players try to break through the offensive line.,
primeval,Having existed from the beginning; in an earliest or original stage or state.,aboriginal forests
tenacity,Persistent determination.,
tenacious,Good at remembering.,a retentive mind
tenaciously,With obstinate determination.,he pursued her doggedly
genomic,,
genomically,,
capacious,Large in capacity.,she carried a capacious bag
utilization/utilisation,The act of using.,he warned against the use of narcotic drugs
unequivocal,Admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion.,unequivocal evidence
unequivocally,In an unambiguous manner.,she stated her intentions unequivocally
spontaneity,The quality of being spontaneous and coming from natural feelings without constraint.,the spontaneity of his laughter
provocation,Unfriendly behavior that causes anger or resentment.,
portraiture,A word picture of a person's appearance and character.,
circumnavigate,"Travel around, either by plane or ship.",We compassed the earth
circumnavigation,Traveling around something (by ship or plane).,Magellan's circumnavigation of the earth proved that it is a globe
liaise,Act between parties with a view to reconciling differences.,He interceded in the family dispute
contractual,Relating to or part of a binding legal agreement.,contractual obligations
contractually,By virtue of a contract.,they were contractually responsible
abject,Of the most contemptible kind.,abject cowardice
sheaf,A package of several things tied together for carrying or storing.,
articulation,The aspect of pronunciation that involves bringing articulatory organs together so as to shape the sounds of speech.,
spurious,Plausible but false.,a specious claim
spuriously,In a false and spurious manner.,the lawyer argued spuriously that his client knew nothing of the burglary
calorific,Heat-generating.,the calorific properties of fuels
fabulate,,
fabulation,,
octogenarian,Someone whose age is in the eighties.,
voracity,Excessive desire to eat.,
brandish,The act of waving.,
repose,Freedom from activity (work or strain or responsibility).,took his repose by the swimming pool
unencumbered,Free of encumbrance.,inherited an unencumbered estate
buffoonery,Acting like a clown or buffoon.,
gauche,Lacking social polish.,too gauche to leave the room when the conversation became intimate
domesticity,The quality of being domestic or domesticated.,a royal family living in unpretentious domesticity
accrue,Grow by addition.,The interest accrues
proliferation,Growth by the rapid multiplication of parts.,
blandishment,Flattery intended to persuade.,
anthropological,Of or concerned with the science of anthropology.,anthropological studies
anthropologically,,
carbonize/carbonise,Unite with carbon.,carburize metal
monastic,A male religious living in a cloister and devoting himself to contemplation and prayer and work.,
midwifery,The branch of medicine dealing with childbirth and care of the mother.,
adornment,A decoration of color or interest that is added to relieve plainness.,
conjecture,A hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence).,speculations about the outcome of the election
malleable,Easily influenced.,
malleability,The property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking.,
ore,A mineral that contains metal that is valuable enough to be mined.,
gale,A strong wind moving 45-90 knots; force 7 to 10 on beaufort scale.,
promenade,A formal ball held for a school class toward the end of the academic year.,
testimonial,Something that serves as evidence.,his effort was testimony to his devotion
distill,"Remove impurities from, increase the concentration of, and separate through the process of distillation.",purify the water
distillation,The process of purifying a liquid by boiling it and condensing its vapors.,
informant,A person who supplies information.,
vis-a-vis,A person or thing having the same function or characteristics as another.,
overlay,"Protective covering consisting, for example, of a layer of boards applied to the studs and joists of a building to strengthen it and serve as a foundation for a weatherproof exterior.",
nostalgia,Longing for something past.,
nostalgic,Unhappy about being away and longing for familiar things or persons.,
nostalgically,In a nostalgic manner.,"they spent an hour together, talking nostalgically as they wandered slowly down the coast road"
grievance,A resentment strong enough to justify retaliation.,holding a grudge
residue,Matter that remains after something has been removed.,
residual,Something left after other parts have been taken away.,there was no remainder
physiological,Of or relating to the biological study of physiology.,physiological psychology
physiologically,Of or relating to physiological processes; with respect to physiology.,physiologically ready
methodology,The branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline.,
methodological,Relating to the methodology of some discipline.,methodological errors
methodologically,In a methodical manner.,let us proceed methodologically
proportional,One of the quantities in a mathematical proportion.,
proportionally,To a proportionate degree.,your salary will rise proportionately to your workload
habitation,The native habitat or home of an animal or plant.,
inartistic,Lacking aesthetic sensibility.,
ornate,Marked by elaborate rhetoric and elaborated with decorative details; ; -john milton.,a flowery speech
modernism,Genre of art and literature that makes a self-conscious break with previous genres.,
presuppose,Take for granted or as a given; suppose beforehand.,I presuppose that you have done your work
presupposition,The act of presupposing; a supposition made prior to having knowledge (as for the purpose of argument).,
centralized/centralised,Make central.,The Russian government centralized the distribution of food
transmitter,Someone who transmits a message.,return to sender
regulatory,Restricting according to rules or principles.,a regulatory gene
archival,Of or relating to or contained in or serving as an archive.,
diffuse,Move outward.,The soldiers fanned out
egalitarian,A person who believes in the equality of all people.,
hindsight,Understanding the nature of an event after it has happened.,hindsight is always better than foresight
materialize/materialise,Come into being; become reality.,Her dream really materialized
materialization/materialisation,The process of coming into being; becoming reality.,the materialization of her dream
disperse,Distribute loosely.,He scattered gun powder under the wagon
dispersal,The act of dispersing or diffusing something.,the dispersion of the troops
stabilize/stabilise,Make stable and keep from fluctuating or put into an equilibrium.,The drug stabilized her blood pressure
pervasive,Spreading or spread throughout.,armed with permeative irony...he punctures affectations
pervasiveness,The quality of filling or spreading throughout.,the pervasiveness of the odor of cabbage in tenement hallways
autonomous,(of political bodies) not controlled by outside forces.,an autonomous judiciary
autonomously,,
outmoded,"Make unfashionable, outdated, or obsolete.",Modern ways of cooking have outmoded the hearth
notoriously,To a notorious degree.,"European emigres, who notoriously used to repair to the British Museum to write seditious pamphlets"
notoriety,The state of being known for some unfavorable act or quality.,
menial,A domestic servant.,
insular,Relating to or characteristic of or situated on an island.,insular territories
antidote,A remedy that stops or controls the effects of a poison.,
postural,Of or relating to or involving posture.,postural exercises
posturing,Adopting a vain conceited posture.,
revelatory,(usually followed by `of') pointing out or revealing clearly.,actions indicative of fear
prostrate,"Get into a prostrate position, as in submission.",
haphazard,Dependent upon or characterized by chance.,a haphazard plan of action
haphazardly,In a random manner.,the houses were randomly scattered
deficient,Inadequate in amount or degree.,a deficient education
deficiently,,
delicatessen,Ready-to-eat food products.,
muscle-bound,Having stiff muscles as the result of excessive exercise.,he arrived accompanied by two muscle-bound body guards
posit,(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning.,
cocoon,Silky envelope spun by the larvae of many insects to protect pupas and by spiders to protect eggs.,
chrysalis,Pupa of a moth or butterfly enclosed in a cocoon.,
ignominious,(used of conduct or character) deserving or bringing disgrace or shame; - rachel carson.,Man...has written one of his blackest records as a destroyer on the oceanic islands
ignominiously,In a dishonorable manner or to a dishonorable degree.,his grades were disgracefully low
euphoria,A feeling of great (usually exaggerated) elation.,
euphoric,Exaggerated feeling of well-being or elation.,
euphorically,,
relegate,Refer to another person for decision or judgment.,She likes to relegate difficult questions to her colleagues
succumb,Consent reluctantly.,
treacherous,Dangerously unstable and unpredictable.,treacherous winding roads
treacherously,In a disloyal and faithless manner.,he behaved treacherously
treachery,Betrayal of a trust.,
maggot,The larva of the housefly and blowfly commonly found in decaying organic matter.,
palate,The upper surface of the mouth that separates the oral and nasal cavities.,
palatable,Acceptable to the taste or mind.,palatable food
hermit,One retired from society for religious reasons.,
hermetic,Completely sealed; completely airtight.,
irrelevancy,The lack of a relation of something to the matter at hand.,
mariner,A man who serves as a sailor.,
rift,A gap between cloud masses.,the sun shone through a rift in the clouds
helm,Steering mechanism for a vessel; a mechanical device by which a vessel is steered.,
autopilot,A cognitive state in which you act without self-awareness.,she went about her chores on automatic pilot
eminence,High status importance owing to marked superiority.,a scholar of great eminence
eminent,Standing above others in quality or position.,people in high places
preeminent,Greatest in importance or degree or significance or achievement.,our greatest statesmen
unsuspected,Not suspected or believed likely.,remained unsuspected as the head of the spy ring
paralyzingly/paralysingly,,
glory in,,
decentralize/decentralise,Make less central.,"After the revolution, food distribution was decentralized"
preoccupation,An idea that preoccupies the mind and holds the attention.,
prolong,Lengthen in time; cause to be or last longer.,We prolonged our stay
drudgery,Hard monotonous routine work.,
pressurize,Increase the pressure on a gas or liquid.,
pressurization,,
intermediary,A negotiator who acts as a link between parties.,
hotelier,An owner or manager of hotels.,
denote,Be a sign or indication of.,Her smile denoted that she agreed
denotation,The act of indicating or pointing out by name.,
profitability,The quality of affording gain or benefit or profit.,
jargon,A characteristic language of a particular group (as among thieves).,they don't speak our lingo
declination,A condition inferior to an earlier condition; a gradual falling off from a better state.,
vocational,Of or relating to a vocation or occupation; especially providing or undergoing training in special skills.,vocational school
spatial,Pertaining to or involving or having the nature of space.,the first dimension to concentrate on is the spatial one
spatially,With regard to space.,spatially limited
integration,The action of incorporating a racial or religious group into a community.,
extracurricular,Outside the regular academic curriculum.,sports and drama are popular extracurricular activities
encompass,Include in scope; include as part of something broader; have as one's sphere or territory.,This group encompasses a wide range of people from different backgrounds
all-encompassing,Broad in scope or content; ; ; ; ; - t.g.winner.,across-the-board pay increases
accountability,Responsibility to someone or for some activity.,
frolic,Gay or light-hearted recreational activity for diversion or amusement.,it was all done in play
minefield,A region in which explosives mines have been placed.,
side-step,,
abundantly,In an abundant manner.,they were abundantly supplied with food
anarchic,Without law or control.,the system is economically inefficient and politically anarchic
crystallization/crystallisation,The formation of crystals.,
prescriptive,Pertaining to giving directives or rules.,prescriptive grammar is concerned with norms of or rules for correct usage
slab,Block consisting of a thick piece of something.,
retrospective,An exhibition of a representative selection of an artist's life work.,
retrospection,Reference to things past.,the story begins with no introductory retrospections
wordage,,
brevity,The use of brief expressions.,
uncanny,Suggesting the operation of supernatural influences; ; ; - john galsworthy; ; - henry kingsley.,an eldritch screech
tactic,A plan for attaining a particular goal.,
tactical,Of or pertaining to tactic or tactics.,a tactical error
tactically,With regard to tactics.,the tactically useful province is still firmly in the rebels' hands
gambit,An opening remark intended to secure an advantage for the speaker.,
babble,Gibberish resembling the sounds of a baby.,
bauble,A mock scepter carried by a court jester.,
correlate,Either of two or more related or complementary variables.,
correlation,A reciprocal relation between two or more things.,
combustion,A process in which a substance reacts with oxygen to give heat and light.,
painstaking,Characterized by extreme care and great effort.,conscientious application to the work at hand
painstakingly,In a fastidious and painstaking manner.,it is almost a waste of time painstakingly to learn the routines of selling
contraption,A device or control that is very useful for a particular job.,
mesh,The number of openings per linear inch of a screen; measures size of particles.,a 100 mesh screen
enabler,,
fluctuate,Cause to fluctuate or move in a wavelike pattern.,
fluctuation,A wave motion.,the fluctuations of the sea
lyricist,A person who writes the words for songs.,
lyrical,Suitable for or suggestive of singing.,
lyrically,In a lyrical manner.,she danced the part of the Black Swan very lyrically
bona fide,,
moribund,Not growing or changing; without force or vitality.,
perch,Support consisting of a branch or rod that serves as a resting place (especially for a bird).,
solicit,Make a solicitation or entreaty for something; request urgently or persistently.,Henry IV solicited the Pope for a divorce
philanthropy,Voluntary promotion of human welfare.,
philanthropist,Someone who makes charitable donations intended to increase human well-being.,
philanthropic,Generous in assistance to the poor.,a benevolent contributor
philanthropically,In a philanthropic manner.,
precocious,Characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude).,a precocious child
precociously,In a precocious manner.,her child behaves precociously
wordsmith,A fluent and prolific writer.,
connote,Express or state indirectly.,
connotation,What you must know in order to determine the reference of an expression.,
herald,(formal) a person who announces important news.,the chieftain had a herald who announced his arrival with a trumpet
philistine,A person who is uninterested in intellectual pursuits.,
innuendo,An indirect (and usually malicious) implication.,
induce,Cause to arise.,induce a crisis
inducement,A positive motivational influence.,
anthology,A collection of selected literary passages.,
lament,A cry of sorrow and grief.,their pitiful laments could be heard throughout the ward
lamentation,A cry of sorrow and grief.,their pitiful laments could be heard throughout the ward
conduit,A passage (a pipe or tunnel) through which water or electric wires can pass.,the computers were connected through a system of conduits
chronology,An arrangement of events in time.,
chronologically,With respect to chronology.,he is chronologically older
equilibrium,A stable situation in which forces cancel one another.,
rebound,A movement back from an impact.,
proposition,(logic) a statement that affirms or denies something and is either true or false.,
flagging,Flagstones collectively.,there was a pile of flagging waiting to be laid in place
electrode,A conductor used to make electrical contact with some part of a circuit.,
caffeinate,,
cosmic,Of or from or pertaining to or characteristic of the cosmos or universe.,cosmic laws
interlude,An intervening period or episode.,
beneficiary,The recipient of funds or other benefits.,
recuperate,Regain or make up for.,recuperate one's losses
recuperation,Gradual healing (through rest) after sickness or injury.,
recuperative,Promoting recuperation.,recuperative powers
cultish,,
seismic,Subject to or caused by an earthquake or earth vibration.,
irrevocably,In an irrevocable manner.,
irrevocable,Incapable of being retracted or revoked; - shakespeare.,firm and irrevocable is my doom
slither,To pass or move unobtrusively or smoothly.,They slid through the wicket in the big gate
unnerve,Disturb the composure of.,
unnerving,Disturb the composure of.,
unnervingly,,
protrude,Extend out or project in space.,His sharp nose jutted out
protrusion,Something that bulges out or is protuberant or projects from its surroundings.,the gun in his pocket made an obvious bulge
qualitative,Involving distinctions based on qualities.,qualitative change
procedural,Of or relating to procedure.,a procedural violation
demystify,Make less mysterious or remove the mystery from.,let's demystify the event by explaining what it is all about
demystification,,
proprietary,An unincorporated business owned by a single person who is responsible for its liabilities and entitled to its profits.,
proprietorial,,
floodgates,Something that restrains a flood or outpouring.,suspension of surveillance opened the floodgates to illegal immigrants
imperceptible,Impossible or difficult to perceive by the mind or senses.,an imperceptible drop in temperature
imperceptibly,In an imperceptible manner or to an imperceptible degree.,the power of the Secretary of State in London increased gradually but imperceptibly
hapless,Deserving or inciting pity; ; ; - galsworthy.,a hapless victim
catastrophically,With unfortunate consequences.,catastrophically complex
